postcode_district,postcode_sector
CA28,CA28 6
CA28,CA28 7
CA28,CA28 8
CA28,CA28 9
CA3,CA3 0
CA3,CA3 8
CA3,CA3 9
CA4,CA4 0
CA4,CA4 8
CA4,CA4 9
CA5,CA5 6
CA5,CA5 7
CA6,CA6 4
CA6,CA6 5
CA6,CA6 6
CA7,CA7 0
CA7,CA7 1
CA7,CA7 2
CA7,CA7 3
CA7,CA7 4
CA7,CA7 5
CA7,CA7 7
CA7,CA7 8
CA7,CA7 9
CA8,CA8 0
CA8,CA8 1
CA8,CA8 2
CA8,CA8 7
CA8,CA8 9
CA9,CA9 3
CA95,CA95 1
CB1,CB1 0
CB1,CB1 1
CB1,CB1 2
CB1,CB1 3
CB1,CB1 7
CB1,CB1 8
CB1,CB1 9
CB10,CB10 1
CB10,CB10 2
CB10,CB10 9
CB11,CB11 3
CB11,CB11 4
CB2,CB2 0
CB2,CB2 1
CB2,CB2 3
CB2,CB2 7
CB2,CB2 8
CB2,CB2 9
CB21,CB21 4
CB21,CB21 5
CB21,CB21 6
CB22,CB22 3
CB22,CB22 4
CB22,CB22 5
CB22,CB22 6
CB22,CB22 7
CB23,CB23 1
CB23,CB23 2
CB23,CB23 3
CB23,CB23 4
CB23,CB23 5
CB23,CB23 6
CB23,CB23 7
CB23,CB23 8
CB24,CB24 1
CB24,CB24 3
CB24,CB24 4
CB24,CB24 5
CB24,CB24 6
CB24,CB24 8
CB24,CB24 9
CB25,CB25 0
CB25,CB25 9
CB3,CB3 0
CB3,CB3 1
CB3,CB3 9
CB4,CB4 0
CB4,CB4 1
CB4,CB4 2
CB4,CB4 3
CB5,CB5 8
CB6,CB6 1
CB6,CB6 2
CB6,CB6 3
CB7,CB7 4
CB7,CB7 5
CB7,CB7 6
CB7,CB7 7
CB7,CB7 9
CB8,CB8 0
CB8,CB8 1
CB8,CB8 7
CB8,CB8 8
CB8,CB8 9
CB9,CB9 0
CB9,CB9 1
CB9,CB9 7
CB9,CB9 8
CB9,CB9 9
CF10,CF10 1
CF10,CF10 2
CF10,CF10 3
CF10,CF10 4
CF10,CF10 5
CF11,CF11 0
CF11,CF11 1
CF11,CF11 6
CF11,CF11 7
CF11,CF11 8
CF11,CF11 9
CF14,CF14 0
CF14,CF14 1
CF14,CF14 2
CF14,CF14 3
CF14,CF14 4
CF14,CF14 5
CF14,CF14 6
CF14,CF14 7
CF14,CF14 8
CF14,CF14 9
CF15,CF15 5
CF15,CF15 7
CF15,CF15 8
CF15,CF15 9
CF23,CF23 0
CF23,CF23 5
CF23,CF23 6
CF23,CF23 7
CF23,CF23 8
CF23,CF23 9
CF24,CF24 0
CF24,CF24 1
CF24,CF24 2
CF24,CF24 3
CF24,CF24 4
CF24,CF24 5
CF3,CF3 0
CF3,CF3 1
CF3,CF3 2
CF3,CF3 3
CF3,CF3 4
CF3,CF3 5
CF3,CF3 6
CF30,CF30 0
CF31,CF31 1
CF31,CF31 2
CF31,CF31 3
CF31,CF31 4
CF31,CF31 5
CF31,CF31 9
CF32,CF32 0
CF32,CF32 7
CF32,CF32 8
CF32,CF32 9
CF33,CF33 4
CF33,CF33 6
CF34,CF34 0
CF34,CF34 4
CF34,CF34 9
CF35,CF35 5
CF35,CF35 6
CF36,CF36 3
CF36,CF36 5
CF36,CF36 9
CF37,CF37 1
CF37,CF37 2
CF37,CF37 3
CF37,CF37 4
CF37,CF37 5
CF37,CF37 9
CF38,CF38 1
CF38,CF38 2
CF39,CF39 0
CF39,CF39 8
CF39,CF39 9
CF40,CF40 1
CF40,CF40 2
CF40,CF40 9
CF41,CF41 7
CF42,CF42 5
CF42,CF42 6
CF42,CF42 9
CF43,CF43 3
CF43,CF43 4
CF43,CF43 9
CF44,CF44 0
CF44,CF44 4
CF44,CF44 6
CF44,CF44 7
CF44,CF44 8
CF44,CF44 9
CF45,CF45 3
CF45,CF45 4
CF46,CF46 5
CF46,CF46 6
CF47,CF47 0
CF47,CF47 7
CF47,CF47 8
CF47,CF47 9
CF48,CF48 1
CF48,CF48 2
CF48,CF48 3
CF48,CF48 4
CF5,CF5 1
CF5,CF5 2
CF5,CF5 3
CF5,CF5 4
CF5,CF5 5
CF5,CF5 6
CF5,CF5 9
CF61,CF61 1
CF61,CF61 2
CF62,CF62 3
CF62,CF62 4
CF62,CF62 5
CF62,CF62 6
CF62,CF62 7
CF62,CF62 8
CF62,CF62 9
CF63,CF63 1
CF63,CF63 2
CF63,CF63 3
CF63,CF63 4
CF63,CF63 9
CF64,CF64 1
CF64,CF64 2
CF64,CF64 3
CF64,CF64 4
CF64,CF64 5
CF64,CF64 9
CF71,CF71 7
CF71,CF71 9
CF72,CF72 0
CF72,CF72 4
CF72,CF72 8
CF72,CF72 9
CF81,CF81 8
CF81,CF81 9
CF82,CF82 6
CF82,CF82 7
CF82,CF82 8
CF82,CF82 9
CF83,CF83 1
CF83,CF83 2
CF83,CF83 3
CF83,CF83 4
CF83,CF83 8
CF83,CF83 9
CF91,CF91 1
CF91,CF91 5
CF95,CF95 1
CF99,CF99 1
CH1,CH1 1
CH1,CH1 2
CH1,CH1 3
CH1,CH1 4
CH1,CH1 5
CH1,CH1 6
CH1,CH1 9
CH2,CH2 1
CH2,CH2 2
CH2,CH2 3
CH2,CH2 4
CH25,CH25 9
CH26,CH26 9
CH27,CH27 9
CH28,CH28 9
CH29,CH29 9
CH3,CH3 5
CH3,CH3 6
CH3,CH3 7
CH3,CH3 8
CH3,CH3 9
CH30,CH30 9
CH31,CH31 9
CH32,CH32 9
CH33,CH33 9
CH34,CH34 9
CH4,CH4 0
CH4,CH4 7
CH4,CH4 8
CH4,CH4 9
CH41,CH41 0
CH41,CH41 1
CH41,CH41 2
CH41,CH41 3
CH41,CH41 4
CH41,CH41 5
CH41,CH41 6
CH41,CH41 7
CH41,CH41 8
CH41,CH41 9
CH42,CH42 0
CH42,CH42 1
CH42,CH42 2
CH42,CH42 3
CH42,CH42 4
CH42,CH42 5
CH42,CH42 6
CH42,CH42 7
CH42,CH42 8
CH42,CH42 9
CH43,CH43 0
CH43,CH43 1
CH43,CH43 2
CH43,CH43 3
CH43,CH43 4
CH43,CH43 5
CH43,CH43 6
CH43,CH43 7
CH43,CH43 8
CH43,CH43 9
CH44,CH44 0
CH44,CH44 1
CH44,CH44 2
CH44,CH44 3
CH44,CH44 4
CH44,CH44 5
CH44,CH44 6
CH44,CH44 7
CH44,CH44 8
CH44,CH44 9
CH45,CH45 0
CH45,CH45 1
CH45,CH45 2
CH45,CH45 3
CH45,CH45 4
CH45,CH45 5
CH45,CH45 6
CH45,CH45 7
CH45,CH45 8
CH45,CH45 9
CH46,CH46 0
CH46,CH46 1
CH46,CH46 2
CH46,CH46 3
CH46,CH46 4
CH46,CH46 5
CH46,CH46 6
CH46,CH46 7
CH46,CH46 8
CH46,CH46 9
CH47,CH47 0
CH47,CH47 1
CH47,CH47 2
CH47,CH47 3
CH47,CH47 4
CH47,CH47 5
CH47,CH47 6
CH47,CH47 7
CH47,CH47 8
CH47,CH47 9
CH48,CH48 0
CH48,CH48 1
CH48,CH48 2
CH48,CH48 3
CH48,CH48 4
CH48,CH48 5
CH48,CH48 6
CH48,CH48 7
CH48,CH48 8
CH48,CH48 9
CH49,CH49 0
CH49,CH49 1
CH49,CH49 2
CH49,CH49 3
CH49,CH49 4
CH49,CH49 5
CH49,CH49 6
CH49,CH49 7
CH49,CH49 8
CH49,CH49 9
CH5,CH5 1
CH5,CH5 2
CH5,CH5 3
CH5,CH5 4
CH5,CH5 9
CH6,CH6 5
CH6,CH6 6
CH6,CH6 9
CH60,CH60 0
CH60,CH60 1
CH60,CH60 2
CH60,CH60 3
CH60,CH60 4
CH60,CH60 5
CH60,CH60 6
CH60,CH60 7
CH60,CH60 8
CH60,CH60 9
CH61,CH61 0
CH61,CH61 1
CH61,CH61 2
CH61,CH61 3
CH61,CH61 4
CH61,CH61 5
CH61,CH61 6
CH61,CH61 7
CH61,CH61 8
CH61,CH61 9
CH62,CH62 0
CH62,CH62 1
CH62,CH62 2
CH62,CH62 3
CH62,CH62 4
CH62,CH62 5
CH62,CH62 6
CH62,CH62 7
CH62,CH62 8
CH62,CH62 9
CH63,CH63 0
CH63,CH63 1
CH63,CH63 2
CH63,CH63 3
CH63,CH63 4
CH63,CH63 5
CH63,CH63 6
CH63,CH63 7
CH63,CH63 8
CH63,CH63 9
CH64,CH64 0
CH64,CH64 1
CH64,CH64 2
CH64,CH64 3
CH64,CH64 4
CH64,CH64 5
CH64,CH64 6
CH64,CH64 7
CH64,CH64 8
CH64,CH64 9
CH65,CH65 0
CH65,CH65 1
CH65,CH65 2
CH65,CH65 3
CH65,CH65 4
CH65,CH65 5
CH65,CH65 6
CH65,CH65 7
CH65,CH65 8
CH65,CH65 9
CH66,CH66 0
CH66,CH66 1
CH66,CH66 2
CH66,CH66 3
CH66,CH66 4
CH66,CH66 5
CH66,CH66 6
CH66,CH66 7
CH66,CH66 8
CH66,CH66 9
CH7,CH7 1
CH7,CH7 2
CH7,CH7 3
CH7,CH7 4
CH7,CH7 5
CH7,CH7 6
CH7,CH7 9
CH70,CH70 8
CH8,CH8 7
CH8,CH8 8
CH8,CH8 9
CH88,CH88 3
CH99,CH99 9
CM0,CM0 7
CM0,CM0 8
CM1,CM1 1
CM1,CM1 2
CM1,CM1 3
CM1,CM1 4
CM1,CM1 6
CM1,CM1 7
CM1,CM1 9
CM11,CM11 1
CM11,CM11 2
CM12,CM12 0
CM12,CM12 2
CM12,CM12 9
CM13,CM13 1
CM13,CM13 2
CM13,CM13 3
CM14,CM14 4
CM14,CM14 5
CM14,CM14 9
CM15,CM15 0
CM15,CM15 8
CM15,CM15 9
CM16,CM16 4
CM16,CM16 5
CM16,CM16 6
CM16,CM16 7
CM16,CM16 9
CM17,CM17 0
CM17,CM17 9
CM18,CM18 6
CM18,CM18 7
CM19,CM19 4
CM19,CM19 5
CM2,CM2 0
CM2,CM2 5
CM2,CM2 6
CM2,CM2 7
CM2,CM2 8
CM2,CM2 9
CM20,CM20 1
CM20,CM20 2
CM20,CM20 3
CM20,CM20 9
CM21,CM21 0
CM21,CM21 1
CM21,CM21 9
CM22,CM22 6
CM22,CM22 7
CM23,CM23 1
CM23,CM23 2
CM23,CM23 3
CM23,CM23 4
CM23,CM23 5
CM23,CM23 9
CM24,CM24 1
CM24,CM24 8
CM3,CM3 1
CM3,CM3 2
CM3,CM3 3
CM3,CM3 4
CM3,CM3 5
CM3,CM3 6
CM3,CM3 7
CM3,CM3 8
CM3,CM3 9
CM4,CM4 0
CM4,CM4 9
CM5,CM5 0
CM5,CM5 5
CM5,CM5 9
CM6,CM6 1
CM6,CM6 2
CM6,CM6 3
CM6,CM6 4
CM6,CM6 9
CM7,CM7 0
CM7,CM7 1
CM7,CM7 2
CM7,CM7 3
CM7,CM7 4
CM7,CM7 5
CM7,CM7 9
CM77,CM77 6
CM77,CM77 7
CM77,CM77 8
CM8,CM8 1
CM8,CM8 2
CM8,CM8 3
CM8,CM8 9
CM9,CM9 4
CM9,CM9 5
CM9,CM9 6
CM9,CM9 8
CM9,CM9 9
CM92,CM92 1
CM98,CM98 1
CM99,CM99 2
CO1,CO1 1
CO1,CO1 2
CO1,CO1 9
CO10,CO10 0
CO10,CO10 1
CO10,CO10 2
CO10,CO10 3
CO10,CO10 5
CO10,CO10 7
CO10,CO10 8
CO10,CO10 9
CO11,CO11 1
CO11,CO11 2
CO11,CO11 9
CO12,CO12 3
CO12,CO12 4
CO12,CO12 5
CO12,CO12 9
CO13,CO13 0
CO13,CO13 3
CO13,CO13 9
CO14,CO14 8
CO15,CO15 1
CO15,CO15 2
CO15,CO15 3
CO15,CO15 4
CO15,CO15 5
CO15,CO15 6
CO15,CO15 9
CO16,CO16 0
CO16,CO16 7
CO16,CO16 8
CO16,CO16 9
CO2,CO2 0
CO2,CO2 7
CO2,CO2 8
CO2,CO2 9
CO3,CO3 0
CO3,CO3 3
CO3,CO3 4
CO3,CO3 8
CO3,CO3 9
CO4,CO4 0
CO4,CO4 3
CO4,CO4 5
CO4,CO4 6
CO4,CO4 9
CO5,CO5 0
CO5,CO5 1
CO5,CO5 7
CO5,CO5 8
CO5,CO5 9
CO6,CO6 1
CO6,CO6 2
CO6,CO6 3
CO6,CO6 4
CO6,CO6 5
CO7,CO7 0
CO7,CO7 5
CO7,CO7 6
CO7,CO7 7
CO7,CO7 8
CO7,CO7 9
CO8,CO8 5
CO9,CO9 1
CO9,CO9 2
CO9,CO9 3
CO9,CO9 4
CO9,CO9 9
CR0,CR0 0
CR0,CR0 1
CR0,CR0 2
CR0,CR0 3
CR0,CR0 4
CR0,CR0 5
CR0,CR0 6
CR0,CR0 7
CR0,CR0 8
CR0,CR0 9
CR2,CR2 0
CR2,CR2 1
CR2,CR2 6
CR2,CR2 7
CR2,CR2 8
CR2,CR2 9
CR3,CR3 0
CR3,CR3 4
CR3,CR3 5
CR3,CR3 6
CR3,CR3 7
CR4,CR4 1
CR4,CR4 2
CR4,CR4 3
CR4,CR4 4
CR4,CR4 9
CR44,CR44 1
CR5,CR5 1
CR5,CR5 2
CR5,CR5 3
CR5,CR5 9
CR6,CR6 0
CR6,CR6 9
CR7,CR7 6
CR7,CR7 7
CR7,CR7 8
CR7,CR7 9
CR8,CR8 1
CR8,CR8 2
CR8,CR8 3
CR8,CR8 4
CR8,CR8 5
CR8,CR8 9
CR9,CR9 0
CR9,CR9 1
CR9,CR9 2
CR9,CR9 3
CR9,CR9 4
CR9,CR9 5
CR9,CR9 6
CR9,CR9 7
CR9,CR9 8
CR9,CR9 9
CR90,CR90 9
CT1,CT1 1
CT1,CT1 2
CT1,CT1 3
CT1,CT1 9
CT10,CT10 1
CT10,CT10 2
CT10,CT10 3
CT10,CT10 9
CT11,CT11 0
CT11,CT11 1
CT11,CT11 7
CT11,CT11 8
CT11,CT11 9
CT12,CT12 4
CT12,CT12 5
CT12,CT12 6
CT13,CT13 0
CT13,CT13 3
CT13,CT13 9
CT14,CT14 0
CT14,CT14 4
CT14,CT14 6
CT14,CT14 7
CT14,CT14 8
CT14,CT14 9
CT15,CT15 4
CT15,CT15 5
CT15,CT15 6
CT15,CT15 7
CT16,CT16 1
CT16,CT16 2
CT16,CT16 3
CT16,CT16 9
CT17,CT17 0
CT17,CT17 9
CT18,CT18 7
CT18,CT18 8
CT19,CT19 4
CT19,CT19 5
CT19,CT19 6
CT2,CT2 0
CT2,CT2 7
CT2,CT2 8
CT2,CT2 9
CT20,CT20 1
CT20,CT20 2
CT20,CT20 3
CT20,CT20 9
CT21,CT21 4
CT21,CT21 5
CT21,CT21 6
CT21,CT21 9
CT3,CT3 1
CT3,CT3 2
CT3,CT3 3
CT3,CT3 4
CT4,CT4 5
CT4,CT4 6
CT4,CT4 7
CT4,CT4 8
CT5,CT5 1
CT5,CT5 2
CT5,CT5 3
CT5,CT5 4
CT5,CT5 9
CT50,CT50 1
CT6,CT6 5
CT6,CT6 6
CT6,CT6 7
CT6,CT6 8
CT6,CT6 9
CT7,CT7 0
CT7,CT7 9
CT8,CT8 8
CT9,CT9 1
CT9,CT9 2
CT9,CT9 3
CT9,CT9 4
CT9,CT9 5
CT9,CT9 9
CV1,CV1 1
CV1,CV1 2
CV1,CV1 3
CV1,CV1 4
CV1,CV1 5
CV1,CV1 9
CV10,CV10 0
CV10,CV10 7
CV10,CV10 8
CV10,CV10 9
CV11,CV11 4
CV11,CV11 5
CV11,CV11 6
CV11,CV11 7
CV11,CV11 8
CV11,CV11 9
CV12,CV12 0
CV12,CV12 2
CV12,CV12 8
CV12,CV12 9
CV13,CV13 0
CV13,CV13 6
CV2,CV2 1
CV2,CV2 2
CV2,CV2 3
CV2,CV2 4
CV2,CV2 5
CV21,CV21 1
CV21,CV21 2
CV21,CV21 3
CV21,CV21 4
CV21,CV21 9
CV22,CV22 5
CV22,CV22 6
CV22,CV22 7
CV23,CV23 0
CV23,CV23 1
CV23,CV23 8
CV23,CV23 9
CV3,CV3 1
CV3,CV3 2
CV3,CV3 3
CV3,CV3 4
CV3,CV3 5
CV3,CV3 6
CV3,CV3 9
CV31,CV31 1
CV31,CV31 2
CV31,CV31 3
CV31,CV31 9
CV32,CV32 4
CV32,CV32 5
CV32,CV32 6
CV32,CV32 7
CV33,CV33 8
CV33,CV33 9
CV34,CV34 0
CV34,CV34 4
CV34,CV34 5
CV34,CV34 6
CV34,CV34 7
CV34,CV34 8
CV34,CV34 9
CV35,CV35 0
CV35,CV35 7
CV35,CV35 8
CV35,CV35 9
CV36,CV36 4
CV36,CV36 5
CV37,CV37 0
CV37,CV37 1
CV37,CV37 5
CV37,CV37 6
CV37,CV37 7
CV37,CV37 8
CV37,CV37 9
CV4,CV4 0
CV4,CV4 7
CV4,CV4 8
CV4,CV4 9
CV47,CV47 0
CV47,CV47 1
CV47,CV47 2
CV47,CV47 4
CV47,CV47 7
CV47,CV47 8
CV47,CV47 9
CV5,CV5 6
CV5,CV5 7
CV5,CV5 8
CV5,CV5 9
CV6,CV6 1
CV6,CV6 2
CV6,CV6 3
CV6,CV6 4
CV6,CV6 5
CV6,CV6 6
CV6,CV6 7
CV6,CV6 9
CV7,CV7 7
CV7,CV7 8
CV7,CV7 9
CV8,CV8 1
CV8,CV8 2
CV8,CV8 3
CV8,CV8 9
CV9,CV9 1
CV9,CV9 2
CV9,CV9 3
CV9,CV9 9
CW1,CW1 2
CW1,CW1 3
CW1,CW1 4
CW1,CW1 5
CW1,CW1 6
CW1,CW1 9
CW10,CW10 0
CW10,CW10 9
CW11,CW11 1
CW11,CW11 2
CW11,CW11 3
CW11,CW11 4
CW11,CW11 5
CW12,CW12 1
CW12,CW12 2
CW12,CW12 3
CW12,CW12 4
CW12,CW12 9
CW2,CW2 5
CW2,CW2 6
CW2,CW2 7
CW2,CW2 8
CW3,CW3 0
CW3,CW3 9
CW4,CW4 7
CW4,CW4 8
CW5,CW5 5
CW5,CW5 6
CW5,CW5 7
CW5,CW5 8
CW5,CW5 9
CW6,CW6 0
CW6,CW6 6
CW6,CW6 9
CW7,CW7 1
CW7,CW7 2
CW7,CW7 3
CW7,CW7 4
CW7,CW7 9
CW8,CW8 1
CW8,CW8 2
CW8,CW8 3
CW8,CW8 4
CW9,CW9 5
CW9,CW9 6
CW9,CW9 7
CW9,CW9 8
CW9,CW9 9
CW98,CW98 1
DA1,DA1 1
DA1,DA1 2
DA1,DA1 3
DA1,DA1 4
DA1,DA1 5
DA1,DA1 9
DA10,DA10 0
DA10,DA10 1
DA10,DA10 9
DA11,DA11 0
DA11,DA11 7
DA11,DA11 8
DA11,DA11 9
DA12,DA12 1
DA12,DA12 2
DA12,DA12 3
DA12,DA12 4
DA12,DA12 5
DA12,DA12 9
DA13,DA13 0
DA13,DA13 9
DA14,DA14 4
DA14,DA14 5
DA14,DA14 6
DA15,DA15 0
DA15,DA15 7
DA15,DA15 8
DA15,DA15 9
DA16,DA16 1
DA16,DA16 2
DA16,DA16 3
DA17,DA17 5
DA17,DA17 6
DA17,DA17 9
DA18,DA18 4
DA2,DA2 6
DA2,DA2 7
DA2,DA2 8
DA3,DA3 7
DA3,DA3 8
DA3,DA3 9
DA4,DA4 0
DA4,DA4 9
DA5,DA5 1
DA5,DA5 2
DA5,DA5 3
DA5,DA5 9
DA6,DA6 7
DA6,DA6 8
DA7,DA7 4
DA7,DA7 5
DA7,DA7 6
DA7,DA7 9
DA8,DA8 1
DA8,DA8 2
DA8,DA8 3
DA8,DA8 9
DA9,DA9 9
DD1,DD1 1
DD1,DD1 2
DD1,DD1 3
DD1,DD1 4
DD1,DD1 5
DD1,DD1 9
DD10,DD10 0
DD10,DD10 1
DD10,DD10 8
DD10,DD10 9
DD11,DD11 1
DD11,DD11 2
DD11,DD11 3
DD11,DD11 4
DD11,DD11 5
DD11,DD11 9
DD2,DD2 1
DD2,DD2 2
DD2,DD2 3
DD2,DD2 4
DD2,DD2 5
DD2,DD2 9
DD3,DD3 0
DD3,DD3 6
DD3,DD3 7
DD3,DD3 8
DD3,DD3 9
DD4,DD4 0
DD4,DD4 6
DD4,DD4 7
DD4,DD4 8
DD4,DD4 9
DD5,DD5 1
DD5,DD5 2
DD5,DD5 3
DD5,DD5 4
DD5,DD5 9
DD6,DD6 8
DD6,DD6 9
DD7,DD7 6
DD7,DD7 7
DD8,DD8 0
DD8,DD8 1
DD8,DD8 2
DD8,DD8 3
DD8,DD8 4
DD8,DD8 5
DD8,DD8 9
DD9,DD9 6
DD9,DD9 7
DD9,DD9 9
DE1,DE1 0
DE1,DE1 1
DE1,DE1 2
DE1,DE1 3
DE1,DE1 9
DE11,DE11 0
DE11,DE11 1
DE11,DE11 7
DE11,DE11 8
DE11,DE11 9
DE12,DE12 6
DE12,DE12 7
DE12,DE12 8
DE13,DE13 0
DE13,DE13 7
DE13,DE13 8
DE13,DE13 9
DE14,DE14 1
DE14,DE14 2
DE14,DE14 3
DE14,DE14 9
DE15,DE15 0
DE15,DE15 9
DE21,DE21 2
DE21,DE21 4
DE21,DE21 5
DE21,DE21 6
DE21,DE21 7
DE22,DE22 1
DE22,DE22 2
DE22,DE22 3
DE22,DE22 4
DE22,DE22 5
DE23,DE23 1
DE23,DE23 2
DE23,DE23 3
DE23,DE23 4
DE23,DE23 6
DE23,DE23 8
DE24,DE24 0
DE24,DE24 1
DE24,DE24 3
DE24,DE24 5
DE24,DE24 8
DE24,DE24 9
DE3,DE3 0
DE3,DE3 9
DE4,DE4 2
DE4,DE4 3
DE4,DE4 4
DE4,DE4 5
DE4,DE4 9
DE45,DE45 1
DE45,DE45 9
DE5,DE5 3
DE5,DE5 4
DE5,DE5 8
DE5,DE5 9
DE55,DE55 1
DE55,DE55 2
DE55,DE55 3
DE55,DE55 4
DE55,DE55 5
DE55,DE55 6
DE55,DE55 7
DE55,DE55 9
DE56,DE56 0
DE56,DE56 1
DE56,DE56 2
DE56,DE56 4
DE56,DE56 9
DE6,DE6 1
DE6,DE6 2
DE6,DE6 3
DE6,DE6 4
DE6,DE6 5
DE6,DE6 9
DE65,DE65 5
DE65,DE65 6
DE65,DE65 9
DE7,DE7 0
DE7,DE7 4
DE7,DE7 5
DE7,DE7 6
DE7,DE7 8
DE7,DE7 9
DE72,DE72 2
DE72,DE72 3
DE73,DE73 5
DE73,DE73 6
DE73,DE73 7
DE73,DE73 8
DE74,DE74 0
DE74,DE74 2
DE75,DE75 7
DE75,DE75 9
DE99,DE99 3
DG1,DG1 1
DG1,DG1 2
DG1,DG1 3
DG1,DG1 4
DG1,DG1 9
DG10,DG10 9
DG11,DG11 1
DG11,DG11 2
DG11,DG11 3
DG11,DG11 9
DG12,DG12 5
DG12,DG12 6
DG13,DG13 0
DG14,DG14 0
DG16,DG16 5
DG2,DG2 0
DG2,DG2 7
DG2,DG2 8
DG2,DG2 9
DG3,DG3 4
DG3,DG3 5
DG4,DG4 6
DG5,DG5 4
DG6,DG6 4
DG7,DG7 1
DG7,DG7 2
DG7,DG7 3
DG7,DG7 9
DG8,DG8 0
DG8,DG8 6
DG8,DG8 7
DG8,DG8 8
DG8,DG8 9
DG9,DG9 0
DG9,DG9 1
DG9,DG9 7
DG9,DG9 8
DG9,DG9 9
DH1,DH1 1
DH1,DH1 2
DH1,DH1 3
DH1,DH1 4
DH1,DH1 5
DH1,DH1 9
DH2,DH2 1
DH2,DH2 2
DH2,DH2 3
DH3,DH3 1
DH3,DH3 2
DH3,DH3 3
DH3,DH3 4
DH3,DH3 9
DH4,DH4 4
DH4,DH4 5
DH4,DH4 6
DH4,DH4 7
DH4,DH4 9
DH5,DH5 0
DH5,DH5 8
DH5,DH5 9
DH6,DH6 1
DH6,DH6 2
DH6,DH6 3
DH6,DH6 4
DH6,DH6 5
DH7,DH7 0
DH7,DH7 6
DH7,DH7 7
DH7,DH7 8
DH7,DH7 9
DH8,DH8 0
DH8,DH8 1
DH8,DH8 5
DH8,DH8 6
DH8,DH8 7
DH8,DH8 8
DH8,DH8 9
DH9,DH9 0
DH9,DH9 6
DH9,DH9 7
DH9,DH9 8
DH9,DH9 9
DH97,DH97 1
DH98,DH98 1
DH99,DH99 1
DL1,DL1 1
DL1,DL1 2
DL1,DL1 3
DL1,DL1 4
DL1,DL1 5
DL1,DL1 9
DL10,DL10 4
DL10,DL10 5
DL10,DL10 6
DL10,DL10 7
DL10,DL10 9
DL11,DL11 6
DL11,DL11 7
DL12,DL12 0
DL12,DL12 2
DL12,DL12 8
DL12,DL12 9
DL13,DL13 1
DL13,DL13 2
DL13,DL13 3
DL13,DL13 4
DL13,DL13 5
DL14,DL14 0
DL14,DL14 4
DL14,DL14 6
DL14,DL14 7
DL14,DL14 8
DL14,DL14 9
DL15,DL15 0
DL15,DL15 8
DL15,DL15 9
DL16,DL16 6
DL16,DL16 7
DL16,DL16 9
DL17,DL17 0
DL17,DL17 8
DL17,DL17 9
DL2,DL2 1
DL2,DL2 2
DL2,DL2 3
DL3,DL3 0
DL3,DL3 6
DL3,DL3 7
DL3,DL3 8
DL3,DL3 9
DL4,DL4 1
DL4,DL4 2
DL5,DL5 4
DL5,DL5 5
DL5,DL5 6
DL5,DL5 7
DL5,DL5 9
DL6,DL6 1
DL6,DL6 2
DL6,DL6 3
DL7,DL7 0
DL7,DL7 7
DL7,DL7 8
DL7,DL7 9
DL8,DL8 1
DL8,DL8 2
DL8,DL8 3
DL8,DL8 4
DL8,DL8 5
DL8,DL8 9
DL9,DL9 3
DL9,DL9 4
DL98,DL98 1
DN1,DN1 1
DN1,DN1 2
DN1,DN1 3
DN1,DN1 9
DN10,DN10 4
DN10,DN10 5
DN10,DN10 6
DN11,DN11 0
DN11,DN11 8
DN11,DN11 9
DN12,DN12 1
DN12,DN12 2
DN12,DN12 3
DN12,DN12 4
DN14,DN14 0
DN14,DN14 4
DN14,DN14 5
DN14,DN14 6
DN14,DN14 7
DN14,DN14 8
DN14,DN14 9
DN15,DN15 0
DN15,DN15 5
DN15,DN15 6
DN15,DN15 7
DN15,DN15 8
DN15,DN15 9
DN16,DN16 1
DN16,DN16 2
DN16,DN16 3
DN17,DN17 1
DN17,DN17 2
DN17,DN17 3
DN17,DN17 4
DN18,DN18 5
DN18,DN18 6
DN18,DN18 9
DN19,DN19 7
DN19,DN19 9
DN2,DN2 4
DN2,DN2 5
DN2,DN2 6
DN20,DN20 0
DN20,DN20 2
DN20,DN20 8
DN20,DN20 9
DN21,DN21 1
DN21,DN21 2
DN21,DN21 3
DN21,DN21 4
DN21,DN21 5
DN21,DN21 9
DN22,DN22 0
DN22,DN22 1
DN22,DN22 5
DN22,DN22 6
DN22,DN22 7
DN22,DN22 8
DN22,DN22 9
DN3,DN3 1
DN3,DN3 2
DN3,DN3 3
DN31,DN31 1
DN31,DN31 2
DN31,DN31 3
DN31,DN31 9
DN32,DN32 0
DN32,DN32 7
DN32,DN32 8
DN32,DN32 9
DN33,DN33 1
DN33,DN33 2
DN33,DN33 3
DN34,DN34 4
DN34,DN34 5
DN35,DN35 0
DN35,DN35 7
DN35,DN35 8
DN35,DN35 9
DN36,DN36 4
DN36,DN36 5
DN37,DN37 0
DN37,DN37 7
DN37,DN37 8
DN37,DN37 9
DN38,DN38 6
DN39,DN39 6
DN4,DN4 0
DN4,DN4 5
DN4,DN4 6
DN4,DN4 7
DN4,DN4 8
DN4,DN4 9
DN40,DN40 1
DN40,DN40 2
DN40,DN40 3
DN40,DN40 9
DN41,DN41 7
DN41,DN41 8
DN5,DN5 0
DN5,DN5 7
DN5,DN5 8
DN5,DN5 9
DN6,DN6 0
DN6,DN6 7
DN6,DN6 8
DN6,DN6 9
DN7,DN7 4
DN7,DN7 5
DN7,DN7 6
DN8,DN8 4
DN8,DN8 5
DN9,DN9 1
DN9,DN9 2
DN9,DN9 3
